ID,WORD,POS,LEMMA,SENTIMENT,SOURCE,SENSE
143,безоблачный,Adj,безоблачный,positive,opinion,"ИДИЛЛИЯ,БЕЗМЯТЕЖНОЕ СУЩЕСТВОВАНИЕ"
144,безобразный,Adj,безобразный,negative,opinion,
145,безопасный,Adj,безопасный,positive,opinion,
146,безосновательный,Adj,безосновательный,negative,opinion,
147,безответственный,Adj,безответственный,negative,opinion,
148,безотказный,Adj,безотказный,positive,opinion,
149,безотрадный,Adj,безотрадный,negative,opinion,
150,безошибочный,Adj,безошибочный,positive,opinion,
151,безперебойный,Adj,безперебойный,positive,opinion,
153,безрадостный,Adj,безрадостный,negative,opinion,
154,безразличный,Adj,безразличный,negative,opinion,
155,безрезультативный,Adj,безрезультативный,negative,opinion,
156,безрезультатный,Adj,безрезультатный,negative,opinion,
157,безрукий,Adj,безрукий,negative,opinion,
158,безукоризненный,Adj,безукоризненный,positive,opinion,
159,безумный,Adj,безумный,negative,opinion,
160,безупречный,Adj,безупречный,positive,opinion,
161,безуспешный,Adj,безуспешный,negative,opinion,
162,безустанный,Adj,безустанный,positive,opinion,
163,безутешный,Adj,безутешный,negative,opinion,
164,безучастный,Adj,безучастный,negative,opinion,
165,безыскусный,Adj,безыскусный,positive,opinion,
166,безыскусственный,Adj,безыскусственный,positive,opinion,
167,безысходный,Adj,безысходный,negative,opinion,
168,белесый,Adj,белесый,negative,opinion,
171,бережливый,Adj,бережливый,positive,opinion,
172,бережный,Adj,бережный,positive,opinion,
173,бескомпромиссный,Adj,бескомпромиссный,positive,opinion,
174,бесконтрольный,Adj,бесконтрольный,negative,opinion,
175,бескорыстный,Adj,бескорыстный,positive,opinion,
176,бескультурный,Adj,бескультурный,negative,opinion,
177,беспалевный,Adj,беспалевный,positive,opinion,
179,беспамятный,Adj,беспамятный,negative,opinion,ЗАБЫВЧИВЫЙ
180,беспардонный,Adj,беспардонный,negative,opinion,
181,бесперспективный,Adj,бесперспективный,negative,opinion,
182,беспечный,Adj,беспечный,negative,opinion,
184,бесплодный,Adj,бесплодный,negative,opinion,
185,бесподобный,Adj,бесподобный,positive,opinion,
187,бесполезный,Adj,бесполезный,negative,opinion,
188,беспомощный,Adj,беспомощный,negative,opinion,
189,беспорочный,Adj,беспорочный,positive,opinion,
190,беспорядочный,Adj,беспорядочный,negative,opinion,
191,беспочвенный,Adj,беспочвенный,negative,opinion,
192,беспощадный,Adj,беспощадный,negative,opinion,
193,беспрепятственный,Adj,беспрепятственный,positive,opinion,
194,беспризорнический,Adj,беспризорнический,negative,opinion,
195,беспризорный,Adj,беспризорный,negative,opinion,
196,беспринципный,Adj,беспринципный,negative,opinion,
197,беспристрастный,Adj,беспристрастный,positive,opinion,
198,беспроигрышный,Adj,беспроигрышный,positive,opinion,
199,беспросветный,Adj,беспросветный,negative,opinion,
200,беспутнический,Adj,беспутнический,negative,opinion,
201,беспутный,Adj,беспутный,negative,opinion,
202,бессвязный,Adj,бессвязный,negative,opinion,
203,бессердечный,Adj,бессердечный,negative,opinion,
205,бессильный,Adj,бессильный,negative,opinion,БЕССИЛИЕ (НЕСПОСОБНОСТЬ)
206,бесславный,Adj,бесславный,negative,opinion,
208,бессмертный,Adj,бессмертный,positive,opinion,"НЕПРЕХОДЯЩИЙ,НЕТЛЕННЫЙ"
209,бессмысленный,Adj,бессмысленный,negative,opinion,
210,бессовестный,Adj,бессовестный,negative,opinion,
211,бессодержательный,Adj,бессодержательный,negative,opinion,
213,бесстрашный,Adj,бесстрашный,positive,opinion,
214,бесстыдный,Adj,бесстыдный,negative,opinion,
215,бессчетный,Adj,бессчетный,neutral,opinion,
216,бестактный,Adj,бестактный,negative,opinion,
217,бесталанный,Adj,бесталанный,negative,opinion,
218,бестолковый,Adj,бестолковый,negative,opinion,
219,бесхитростный,Adj,бесхитростный,positive,opinion,
220,бесхребетный,Adj,бесхребетный,negative,opinion,
221,бесцветный,Adj,бесцветный,negative,opinion,БЛЕДНЫЙ (НЕВЫРАЗИТЕЛЬНЫЙ)
223,бесценный,Adj,бесценный,positive,opinion,
224,бесцеремонный,Adj,бесцеремонный,negative,opinion,
225,бесчеловечный,Adj,бесчеловечный,negative,opinion,
226,бесчестный,Adj,бесчестный,negative,opinion,
227,бесчисленный,Adj,бесчисленный,neutral,opinion,
228,бесчувственный,Adj,бесчувственный,negative,opinion,
229,бешеный,Adj,бешеный,negative,opinion,
230,бирючий,Adj,бирючий,negative,opinion,
231,битый,Adj,битый,negative,opinion,
232,благоверный,Adj,благоверный,positive,opinion,"ПРАВОВЕРНЫЙ,НАБОЖНЫЙ"
233,благовоспитанный,Adj,благовоспитанный,positive,opinion,
237,благодатный,Adj,благодатный,positive,opinion,
238,благодетельный,Adj,благодетельный,positive,opinion,
239,благожелательный,Adj,благожелательный,positive,opinion,
241,благой,Adj,благой,positive,opinion,
242,благополучный,Adj,благополучный,positive,opinion,
243,благопристойный,Adj,благопристойный,positive,opinion,
244,благоприятный,Adj,благоприятный,positive,opinion,
245,благоразумный,Adj,благоразумный,positive,opinion,
246,благородный,Adj,благородный,positive,opinion,
247,благосклонный,Adj,благосклонный,positive,opinion,
248,благословенный,Adj,благословенный,positive,opinion,
251,благотворный,Adj,благотворный,positive,opinion,
252,благоустроенный,Adj,благоустроенный,positive,opinion,
253,благочестивый,Adj,благочестивый,positive,opinion,
255,бледноватый,Adj,бледноватый,negative,opinion,
256,бледный,Adj,бледный,negative,opinion,БЛЕДНОСТЬ ЛИЦА
257,бледный,Adj,бледный,negative,opinion,БЛЕДНЫЙ (НЕВЫРАЗИТЕЛЬНЫЙ)
258,бледный,Adj,бледный,neutral,opinion,БЛЕДНЫЙ ПО ОКРАСКЕ
259,блеклый,Adj,блеклый,negative,opinion,
260,блестящий,Adj,блестящий,positive,opinion,
261,блефовый,Adj,блефовый,negative,opinion,
263,близорукий,Adj,близорукий,negative,opinion,"БЛИЗОРУКИЙ,НЕДАЛЬНОВИДНЫЙ"
264,блистательный,Adj,блистательный,positive,opinion,
266,богатенький,Adj,богатенький,negative,opinion,
267,богатый,Adj,богатый,positive,opinion,
268,богобоязненный,Adj,богобоязненный,positive,opinion,
269,богомольный,Adj,богомольный,positive,opinion,
270,богохульный,Adj,богохульный,negative,opinion,
271,богохульственный,Adj,богохульственный,negative,opinion,
272,бодрый,Adj,бодрый,positive,opinion,
273,бодряцкий,Adj,бодряцкий,negative,opinion,
274,бодряческий,Adj,бодряческий,negative,opinion,
275,божеский,Adj,божеский,positive,opinion,
277,божественный,Adj,божественный,positive,opinion,ПРЕКРАСНЫЙ (ОЧЕНЬ КРАСИВЫЙ)
278,бойкий,Adj,бойкий,neutral,opinion,БОЙКИЙ (ЛЮДНЫЙ)
279,бойкий,Adj,бойкий,positive,opinion,"БОЙКИЙ (БЫСТРЫЙ,ЖИВОЙ)"
280,бойкий,Adj,бойкий,positive,opinion,БОЙКИЙ (РАСТОРОПНЫЙ)
283,болезненный,Adj,болезненный,negative,opinion,БОЛЕЗНЕННЫЙ (ЧРЕЗМЕРНЫЙ)
284,болезненный,Adj,болезненный,negative,opinion,"БОЛЕЗНЕННЫЙ,СЛАБЫЙ ПО ЗДОРОВЬЮ"
288,бомжеский,Adj,бомжеский,negative,opinion,
291,бравый,Adj,бравый,positive,opinion,
293,бранный,Adj,бранный,negative,opinion,
296,бредовый,Adj,бредовый,negative,opinion,НЕЛЕПЫЙ
298,бродяжий,Adj,бродяжий,negative,opinion,
299,бродяжнический,Adj,бродяжнический,negative,opinion,
302,бросовый,Adj,бросовый,negative,opinion,БРОСОВЫЙ
303,брутальный,Adj,брутальный,positive,opinion,
304,брюзгливый,Adj,брюзгливый,negative,opinion,
305,бузотерский,Adj,бузотерский,negative,opinion,
306,буйный,Adj,буйный,negative,opinion,
307,бульварный,Adj,бульварный,negative,opinion,БУЛЬВАРНАЯ ЛИТЕРАТУРА
309,бунтарский,Adj,бунтарский,negative,opinion,
312,бутафорский,Adj,бутафорский,negative,opinion,"ПОКАЗУХА,БУТАФОРИЯ"
315,буферный,Adj,буферный,positive,opinion,БУФЕР (РОЛЬ)
316,бухой,Adj,бухой/бухий,negative,opinion,
317,быстротечный,Adj,быстротечный,negative,opinion,
318,бюрократический,Adj,бюрократический,negative,opinion,
319,бюрократичный,Adj,бюрократичный,negative,opinion,
320,бюрократский,Adj,бюрократский,negative,opinion,
321,важный,Adj,важный,positive,opinion,
322,валкий,Adj,валкий,negative,opinion,
323,вампирный,Adj,вампирный,negative,opinion,
324,вампирский,Adj,вампирский,negative,opinion,
325,вандалистский,Adj,вандалистский,negative,opinion,
326,варварский,Adj,варварский,negative,opinion,
327,вареный,Adj,вареный,negative,opinion,ЗАТОРМОЖЕННЫЙ
332,вдумчивый,Adj,вдумчивый,positive,opinion,
333,вежливый,Adj,вежливый,positive,opinion,
334,везучий,Adj,везучий,positive,opinion,
335,велеречивый,Adj,велеречивый,negative,opinion,
336,великий,Adj,великий,negative,opinion,ВЕЛИК ПО РАЗМЕРУ
337,великий,Adj,великий,neutral,opinion,БОЛЬШОЙ ПО РАЗМЕРУ
338,великий,Adj,великий,positive,opinion,"ВЫДАЮЩИЙСЯ,ВЕЛИКИЙ"
339,великодержавный,Adj,великодержавный,negative,opinion,
340,великолепный,Adj,великолепный,positive,opinion,
341,величавый,Adj,величавый,positive,opinion,
342,величественный,Adj,величественный,positive,opinion,
344,верноподданический,Adj,верноподданический,negative,opinion,
345,верноподданный,Adj,верноподданный,positive/negative,opinion,
347,верный,Adj,верный,positive,opinion,"ИСТИННЫЙ,ВЕРНЫЙ"
348,верный,Adj,верный,positive,opinion,"ПРАВИЛЬНЫЙ,СООТВЕТСТВУЮЩИЙ ПРАВИЛАМ"
349,верный,Adj,верный,positive,opinion,ПРЕДАННЫЙ
350,вероломный,Adj,вероломный,positive,opinion,
351,вероотступнический,Adj,вероотступнический,negative,opinion,
352,веселенький,Adj,веселенький,positive,opinion,
353,веселый,Adj,веселый,positive,opinion,
354,веский,Adj,веский,positive,opinion,
355,весомый,Adj,весомый,positive,opinion,
357,ветреный,Adj,ветреный,negative,opinion,"ЛЕГКОМЫСЛЕННЫЙ,БЕЗДУМНЫЙ"
358,ветхий,Adj,ветхий,negative,opinion,
359,ветхозаветный,Adj,ветхозаветный,negative,opinion,"УСТАРЕЛЫЙ,НЕСОВРЕМЕННЫЙ"
362,вздорный,Adj,вздорный,negative,opinion,
365,взрывной,Adj,взрывной,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
366,взрывоопасный,Adj,взрывоопасный,negative,opinion,
367,взрывчатый,Adj,взрывчатый,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
369,взыскательный,Adj,взыскательный,positive,opinion,
371,видимый,Adj,видимый,negative,opinion,ВНЕШНИЙ (ПОВЕРХНОСТНЫЙ)
374,видный,Adj,видный,positive,opinion,
375,виноватый,Adj,виноватый,negative,opinion,
376,виновный,Adj,виновный,negative,opinion,
378,виртуозный,Adj,виртуозный,positive,opinion,
380,вкрадчивый,Adj,вкрадчивый,negative,opinion,
384,властный,Adj,властный,positive/negative,opinion,"ВЛАСТНЫЙ,АВТОРИТАРНЫЙ"
385,властолюбивый,Adj,властолюбивый,negative,opinion,
387,вменяемый,Adj,вменяемый,positive,opinion,
388,вместительный,Adj,вместительный,positive,opinion,
389,внешний,Adj,внешний,negative,opinion,ВНЕШНИЙ (ПОВЕРХНОСТНЫЙ)
391,внимательнейший,Adj,внимательнейший,positive,opinion,
392,внимательный,Adj,внимательный,positive,opinion,
393,внушительный,Adj,внушительный,neutral,opinion,ВНУШИТЕЛЬНЫЙ ПО РАЗМЕРУ
394,внушительный,Adj,внушительный,positive,opinion,"ПРЕДСТАВИТЕЛЬНЫЙ,ПРЕЗЕНТАБЕЛЬНЫЙ"
395,внятный,Adj,внятный,positive,opinion,
396,вожделенный,Adj,вожделенный,positive,opinion,
397,возбудимый,Adj,возбудимый,negative,opinion,
398,возбужденный,Adj,возбужденный,negative,opinion,
399,возвышенный,Adj,возвышенный,positive,opinion,
400,возмутительный,Adj,возмутительный,negative,opinion,
401,воинствующий,Adj,воинствующий,negative,opinion,
402,волевой,Adj,волевой,positive,opinion,
404,волокитный,Adj,волокитный,negative,opinion,
405,волшебный,Adj,волшебный,positive,opinion,
406,вольготный,Adj,вольготный,positive,opinion,
407,вольный,Adj,вольный,negative,opinion,ВОЛЬНЫЙ (НЕТОЧНЫЙ)
408,вольный,Adj,вольный,positive,opinion,НЕПРИНУЖДЕННЫЙ
409,вольный,Adj,вольный,positive,opinion,СВОБОДНЫЙ (НИЧЕМ НЕ СТЕСНЕННЫЙ)
410,волюнтаристический,Adj,волюнтаристический,negative,opinion,
411,волюнтаристский,Adj,волюнтаристский,negative,opinion,
413,вопиющий,Adj,вопиющий,negative,opinion,
414,воровской,Adj,воровской,negative,opinion,
415,ворчливый,Adj,ворчливый,negative,opinion,
417,воспаленный,Adj,воспаленный,negative,opinion,ВОЗБУЖДЕННЫЙ
419,воспитанный,Adj,воспитанный,positive,opinion,
420,восторженный,Adj,восторженный,positive,opinion,
421,востребованный,Adj,востребованный,positive,opinion,
422,восхитительный,Adj,восхитительный,positive,opinion,
423,впечатляющий,Adj,впечатляющий,positive,opinion,
424,враждебный,Adj,враждебный,negative,opinion,
425,вражеский,Adj,вражеский,negative,opinion,
426,вражий,Adj,вражий,negative,opinion,
427,вразумительный,Adj,вразумительный,positive,opinion,
429,вредный,Adj,вредный,negative,opinion,
430,вредоносный,Adj,вредоносный,negative,opinion,
431,вседозволенный,Adj,вседозволенный,negative,opinion,
432,всеисцеляющий,Adj,всеисцеляющий,negative,opinion,
433,всемогущий,Adj,всемогущий,positive,opinion,
434,всесильный,Adj,всесильный,positive,opinion,
435,вспыльчивый,Adj,вспыльчивый,negative,opinion,
437,второстепенный,Adj,второстепенный,negative,opinion,
438,вульгарный,Adj,вульгарный,negative,opinion,
439,вчерашний,Adj,вчерашний,negative,opinion,
441,въедливый,Adj,въедливый,negative,opinion,"ВЪЕДЛИВЫЙ,ДОТОШНЫЙ"
442,въедчивый,Adj,въедчивый,negative,opinion,
443,выгодный,Adj,выгодный,positive,opinion,
444,выдающийся,Adj,видный,positive,opinion,
445,выигрышный,Adj,выигрышный,positive,opinion,
446,вымогательский,Adj,вымогательский,negative,opinion,
447,выносливый,Adj,выносливый,positive,opinion,
448,выполнимый,Adj,выполнимый,positive,opinion,
449,выразительный,Adj,выразительный,positive,opinion,
450,высокогуманный,Adj,высокогуманный,positive,opinion,
451,высококачественный,Adj,высококачественный,positive,opinion,
452,высококлассный,Adj,высококлассный,positive,opinion,
453,высокомерный,Adj,высокомерный,negative,opinion,
454,высокоморальный,Adj,высокоморальный,positive,opinion,
455,высоконравственный,Adj,высоконравственный,positive,opinion,
456,высокоодаренный,Adj,высокоодаренный,positive,opinion,
457,высокопарный,Adj,высокопарный,negative,opinion,
458,высокоперспективный,Adj,высокоперспективный,positive,opinion,
459,высокопорядочный,Adj,высокопорядочный,positive,opinion,
460,высокопрофессиональный,Adj,высокопрофессиональный,positive,opinion,
461,высокопрочный,Adj,высокопрочный,positive,opinion,
462,высокосортный,Adj,высокосортный,positive,opinion,
463,высокотоксичный,Adj,высокотоксичный,negative,opinion,
464,высокочтимый,Adj,высокочтимый,positive,opinion,
465,высокоэффективный,Adj,высокоэффективный,positive,opinion,
466,выспренний,Adj,выспренний,negative,opinion,
467,вычурный,Adj,вычурный,negative,opinion,
468,вяловатый,Adj,вяловатый,negative,opinion,
469,вялый,Adj,вялый,negative,opinion,
470,гадкий,Adj,гадкий,negative,opinion,
472,гадостный,Adj,гадостный,negative,opinion,
474,галантный,Adj,галантный,positive,opinion,
475,галимый,Adj,галимый,negative,opinion,
479,гармоничный,Adj,гармоничный,positive,opinion,
483,гениальный,Adj,гениальный,positive,opinion,
486,геройский,Adj,геройский,positive,opinion,
487,героический,Adj,героический,positive,opinion,
488,героичный,Adj,героичный,positive,opinion,
490,гибельный,Adj,гибельный,negative,opinion,
491,гиблый,Adj,гиблый,negative,opinion,
492,гигантский,Adj,гигантский,neutral,opinion,
496,гламурный,Adj,гламурный,negative,opinion,
499,глубокий,Adj,глубокий,neutral,opinion,"ГЛУБОКИЙ, БОЛЬШОЙ ПО ГЛУБИНЕ"
500,глубокий,Adj,глубокий,positive,opinion,"ГЛУБИНА,ОСНОВАТЕЛЬНОСТЬ"
501,глубокомысленный,Adj,глубокомысленный,positive,opinion,
502,глупенький,Adj,глупенький,negative,opinion,
503,глуповатый,Adj,глуповатый,negative,opinion,
504,глупый,Adj,глупый,negative,opinion,
506,глухой,Adj,глухой,negative,opinion,"БЕСЧУВСТВЕННЫЙ,ГЛУХОЙ"
510,гневный,Adj,гневный,negative,opinion,
512,гнилой,Adj,гнилой,negative,opinion,"ГНИЛОЙ (ВРЕДНЫЙ,НЕЗДОРОВЫЙ)"
513,гнилостный,Adj,гнилостный,negative,opinion,
516,гнусный,Adj,гнусный,negative,opinion,
518,головастый,Adj,головастый,positive,opinion,СООБРАЗИТЕЛЬНЫЙ
520,головокружительный,Adj,головокружительный,positive,opinion,ГОЛОВОКРУЖИТЕЛЬНЫЙ (ПОТРЯСАЮЩИЙ)
521,голодный,Adj,голодный,negative,opinion,
524,голословный,Adj,голословный,negative,opinion,
527,горемычный,Adj,горемычный,negative,opinion,
528,горестный,Adj,горестный,negative,opinion,
530,горьковатый,Adj,горьковатый,negative,opinion,
532,горячий,Adj,горячий,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
533,горячий,Adj,горячий,negative,opinion,ГОРЯЧИЙ (НАПРЯЖЕННЫЙ)
534,горячий,Adj,горячий,neutral,opinion,ГОРЯЧИЙ ПО ТЕМПЕРАТУРЕ
535,горячий,Adj,горячий,positive,opinion,"ПЫЛКИЙ,СТРАСТНЫЙ,ГОРЯЧИЙ"
536,гостеприимный,Adj,гостеприимный,positive,opinion,
537,готовый,Adj,готовый,positive,opinion,
538,грабительский,Adj,грабительский,negative,opinion,
541,грамотный,Adj,грамотный,positive,opinion,
542,гребанный,Adj,гребанный,negative,opinion,
543,гребаный,Adj,гребаный,negative,opinion,
544,греховный,Adj,греховный,negative,opinion,
545,грешный,Adj,грешный,negative,opinion,
548,грозный,Adj,грозный,negative,opinion,
549,громадный,Adj,громадный,neutral,opinion,
550,громоздкий,Adj,громоздкий,negative,opinion,
551,грошовый,Adj,грошовый,negative,opinion,
552,грубейший,Adj,грубейший,negative,opinion,
553,грубоватый,Adj,грубоватый,negative,opinion,
554,грубый,Adj,грубый,negative,opinion,
555,грузный,Adj,грузный,negative,opinion,
556,грустноватый,Adj,грустноватый,negative,opinion,
557,грустный,Adj,грустный,negative,opinion,
560,грязненький,Adj,грязненький,negative,opinion,
561,грязноватый,Adj,грязноватый,negative,opinion,
562,грязный,Adj,грязный,negative,opinion,
563,губительный,Adj,губительный,negative,opinion,
564,гуманный,Adj,гуманный,positive,opinion,
565,гурманский,Adj,гурманский,positive,opinion,
566,гяурский,Adj,гяурский,negative,opinion,
567,далекий,Adj,далекий,negative,opinion,"ЧУЖДЫЙ,ДАЛЕКИЙ"
568,далекий,Adj,далекий,neutral,opinion,ДАЛЕКИЙ ПО ВРЕМЕНИ
569,далекий,Adj,далекий,neutral,opinion,ДАЛЕКИЙ ПО РАССТОЯНИЮ
570,дальновидный,Adj,дальновидный,positive,opinion,
571,даровитый,Adj,даровитый,positive,opinion,
573,двоедушный,Adj,двоедушный,negative,opinion,
574,двойственный,Adj,двойственный,negative,opinion,
575,двоякий,Adj,двоякий,negative,opinion,
576,двуликий,Adj,двуликий,negative,opinion,
577,двуличный,Adj,двуличный,negative,opinion,
578,двурушнический,Adj,двурушнический,negative,opinion,
579,двусмысленный,Adj,двусмысленный,negative,opinion,
580,дебильный,Adj,дебильный,negative,opinion,
581,дебоширский,Adj,дебоширский,negative,opinion,
583,девственный,Adj,девственный,positive,opinion,
586,дедовский,Adj,дедовский,negative,opinion,"УСТАРЕЛЫЙ,НЕСОВРЕМЕННЫЙ"
589,дееспособный,Adj,дееспособный,positive,opinion,
590,дезертирский,Adj,дезертирский,negative,opinion,
591,дезинформационный,Adj,дезинформационный,negative,opinion,
592,дезорганизаторский,Adj,дезорганизаторский,negative,opinion,
593,действенный,Adj,действенный,positive,opinion,
594,декларативный,Adj,декларативный,negative,opinion,
595,деланный,Adj,деланный,negative,opinion,
596,деликатный,Adj,деликатный,negative,opinion,ДЕЛИКАТНЫЙ (ЗАТРУДНИТЕЛЬНЫЙ)
597,деликатный,Adj,деликатный,positive,opinion,"ДЕЛИКАТНЫЙ,ТАКТИЧНЫЙ"
598,деловитый,Adj,деловитый,positive,opinion,
600,деловой,Adj,деловой,positive,opinion,ПРЕДПРИИМЧИВЫЙ
601,дельный,Adj,дельный,positive,opinion,
602,демагогический,Adj,демагогический,negative,opinion,
603,демагогичный,Adj,демагогичный,negative,opinion,
604,демократичный,Adj,демократичный,positive,opinion,
607,денежный,Adj,денежный,positive,opinion,"БОГАТЫЙ,НЕБЕДНЫЙ"
612,державный,Adj,державный,positive,opinion,"ВЕЛИЧАВЫЙ,ЦАРСТВЕННЫЙ"
613,дерзкий,Adj,дерзкий,negative,opinion,ДЕРЗКИЙ (НЕПОЧТИТЕЛЬНЫЙ)
614,дерзкий,Adj,дерзкий,positive,opinion,"ДЕРЗКИЙ,ДЕРЗНОВЕННЫЙ"
615,дерзновенный,Adj,дерзновенный,positive,opinion,
616,дерзостный,Adj,дерзостный,negative,opinion,ДЕРЗКИЙ (НЕПОЧТИТЕЛЬНЫЙ)
617,дерзостный,Adj,дерзостный,positive,opinion,"ДЕРЗКИЙ,ДЕРЗНОВЕННЫЙ"
618,дерьмовый,Adj,дерьмовый,negative,opinion,
619,деспотический,Adj,деспотический,negative,opinion,
620,деспотичный,Adj,деспотичный,negative,opinion,
621,дестабилизационный,Adj,дестабилизационный,negative,opinion,
622,дестабильный,Adj,дестабильный,negative,opinion,
624,детальнейший,Adj,детальнейший,positive,opinion,
626,детальный,Adj,детальный,positive,opinion,"ПОДРОБНЫЙ,ДЕТАЛЬНЫЙ"
631,дешевенький,Adj,дешевенький,negative,opinion,
632,дешевый,Adj,дешевый,negative,opinion,НИЗКОПРОБНЫЙ
