,WORD,POS,LEMMA,SENTIMENT,SOURCE,SENSE
84,безденежный,Adj,безденежный,negative,opinion,
85,бездеятельный,Adj,бездеятельный,negative,opinion,
86,бездоказательный,Adj,бездоказательный,negative,opinion,
87,бездумный,Adj,бездумный,negative,opinion,
88,бездушный,Adj,бездушный,negative,opinion,
89,безжалостный,Adj,безжалостный,negative,opinion,
90,безжизненный,Adj,безжизненный,negative,opinion,
91,беззаботный,Adj,беззаботный,positive,opinion,
92,беззаконный,Adj,беззаконный,negative,opinion,
93,беззастенчивый,Adj,беззастенчивый,negative,opinion,
94,беззащитный,Adj,беззащитный,negative,opinion,
95,беззлобный,Adj,беззлобный,positive,opinion,
96,безликий,Adj,безликий,negative,opinion,
97,безмозглый,Adj,безмозглый,negative,opinion,
98,безмятежный,Adj,безмятежный,positive,opinion,
99,безнадежный,Adj,безнадежный,negative,opinion,
100,безнаказанный,Adj,безнаказанный,negative,opinion,
101,безобидный,Adj,безобидный,positive,opinion,
102,безоблачный,Adj,безоблачный,positive,opinion,"ИДИЛЛИЯ,БЕЗМЯТЕЖНОЕ СУЩЕСТВОВАНИЕ"
103,безобразный,Adj,безобразный,negative,opinion,
104,безопасный,Adj,безопасный,positive,opinion,
105,безосновательный,Adj,безосновательный,negative,opinion,
106,безответственный,Adj,безответственный,negative,opinion,
107,безотказный,Adj,безотказный,positive,opinion,
108,безотрадный,Adj,безотрадный,negative,opinion,
109,безошибочный,Adj,безошибочный,positive,opinion,
110,безперебойный,Adj,безперебойный,positive,opinion,
111,безрадостный,Adj,безрадостный,negative,opinion,
112,безразличный,Adj,безразличный,negative,opinion,
113,безрезультативный,Adj,безрезультативный,negative,opinion,
114,безрезультатный,Adj,безрезультатный,negative,opinion,
115,безрукий,Adj,безрукий,negative,opinion,
116,безукоризненный,Adj,безукоризненный,positive,opinion,
117,безумный,Adj,безумный,negative,opinion,
118,безупречный,Adj,безупречный,positive,opinion,
119,безуспешный,Adj,безуспешный,negative,opinion,
120,безустанный,Adj,безустанный,positive,opinion,
121,безутешный,Adj,безутешный,negative,opinion,
122,безучастный,Adj,безучастный,negative,opinion,
123,безыскусный,Adj,безыскусный,positive,opinion,
124,безыскусственный,Adj,безыскусственный,positive,opinion,
125,безысходный,Adj,безысходный,negative,opinion,
126,белесый,Adj,белесый,negative,opinion,
127,бережливый,Adj,бережливый,positive,opinion,
128,бережный,Adj,бережный,positive,opinion,
129,бескомпромиссный,Adj,бескомпромиссный,positive,opinion,
130,бесконтрольный,Adj,бесконтрольный,negative,opinion,
131,бескорыстный,Adj,бескорыстный,positive,opinion,
132,бескультурный,Adj,бескультурный,negative,opinion,
133,беспалевный,Adj,беспалевный,positive,opinion,
134,беспамятный,Adj,беспамятный,negative,opinion,ЗАБЫВЧИВЫЙ
135,беспардонный,Adj,беспардонный,negative,opinion,
136,бесперспективный,Adj,бесперспективный,negative,opinion,
137,беспечный,Adj,беспечный,negative,opinion,
138,бесплодный,Adj,бесплодный,negative,opinion,
139,бесподобный,Adj,бесподобный,positive,opinion,
140,бесполезный,Adj,бесполезный,negative,opinion,
141,беспомощный,Adj,беспомощный,negative,opinion,
142,беспорочный,Adj,беспорочный,positive,opinion,
143,беспорядочный,Adj,беспорядочный,negative,opinion,
144,беспочвенный,Adj,беспочвенный,negative,opinion,
145,беспощадный,Adj,беспощадный,negative,opinion,
146,беспрепятственный,Adj,беспрепятственный,positive,opinion,
147,беспризорнический,Adj,беспризорнический,negative,opinion,
148,беспризорный,Adj,беспризорный,negative,opinion,
149,беспринципный,Adj,беспринципный,negative,opinion,
150,беспристрастный,Adj,беспристрастный,positive,opinion,
151,беспроигрышный,Adj,беспроигрышный,positive,opinion,
152,беспросветный,Adj,беспросветный,negative,opinion,
153,беспутнический,Adj,беспутнический,negative,opinion,
154,беспутный,Adj,беспутный,negative,opinion,
155,бессвязный,Adj,бессвязный,negative,opinion,
156,бессердечный,Adj,бессердечный,negative,opinion,
157,бессильный,Adj,бессильный,negative,opinion,БЕССИЛИЕ (НЕСПОСОБНОСТЬ)
158,бесславный,Adj,бесславный,negative,opinion,
159,бессмертный,Adj,бессмертный,positive,opinion,"НЕПРЕХОДЯЩИЙ,НЕТЛЕННЫЙ"
160,бессмысленный,Adj,бессмысленный,negative,opinion,
161,бессовестный,Adj,бессовестный,negative,opinion,
162,бессодержательный,Adj,бессодержательный,negative,opinion,
163,бесстрашный,Adj,бесстрашный,positive,opinion,
164,бесстыдный,Adj,бесстыдный,negative,opinion,
165,бессчетный,Adj,бессчетный,neutral,opinion,
166,бестактный,Adj,бестактный,negative,opinion,
167,бесталанный,Adj,бесталанный,negative,opinion,
168,бестолковый,Adj,бестолковый,negative,opinion,
169,бесхитростный,Adj,бесхитростный,positive,opinion,
170,бесхребетный,Adj,бесхребетный,negative,opinion,
171,бесцветный,Adj,бесцветный,negative,opinion,БЛЕДНЫЙ (НЕВЫРАЗИТЕЛЬНЫЙ)
172,бесценный,Adj,бесценный,positive,opinion,
173,бесцеремонный,Adj,бесцеремонный,negative,opinion,
174,бесчеловечный,Adj,бесчеловечный,negative,opinion,
175,бесчестный,Adj,бесчестный,negative,opinion,
176,бесчисленный,Adj,бесчисленный,neutral,opinion,
177,бесчувственный,Adj,бесчувственный,negative,opinion,
178,бешеный,Adj,бешеный,negative,opinion,
179,бирючий,Adj,бирючий,negative,opinion,
180,битый,Adj,битый,negative,opinion,
181,благоверный,Adj,благоверный,positive,opinion,"ПРАВОВЕРНЫЙ,НАБОЖНЫЙ"
182,благовоспитанный,Adj,благовоспитанный,positive,opinion,
183,благодатный,Adj,благодатный,positive,opinion,
184,благодетельный,Adj,благодетельный,positive,opinion,
185,благожелательный,Adj,благожелательный,positive,opinion,
186,благой,Adj,благой,positive,opinion,
187,благополучный,Adj,благополучный,positive,opinion,
188,благопристойный,Adj,благопристойный,positive,opinion,
189,благоприятный,Adj,благоприятный,positive,opinion,
190,благоразумный,Adj,благоразумный,positive,opinion,
191,благородный,Adj,благородный,positive,opinion,
192,благосклонный,Adj,благосклонный,positive,opinion,
193,благословенный,Adj,благословенный,positive,opinion,
194,благотворный,Adj,благотворный,positive,opinion,
195,благоустроенный,Adj,благоустроенный,positive,opinion,
196,благочестивый,Adj,благочестивый,positive,opinion,
197,бледноватый,Adj,бледноватый,negative,opinion,
198,бледный,Adj,бледный,negative,opinion,БЛЕДНОСТЬ ЛИЦА
199,бледный,Adj,бледный,negative,opinion,БЛЕДНЫЙ (НЕВЫРАЗИТЕЛЬНЫЙ)
200,бледный,Adj,бледный,neutral,opinion,БЛЕДНЫЙ ПО ОКРАСКЕ
201,блеклый,Adj,блеклый,negative,opinion,
202,блестящий,Adj,блестящий,positive,opinion,
203,блефовый,Adj,блефовый,negative,opinion,
204,близорукий,Adj,близорукий,negative,opinion,"БЛИЗОРУКИЙ,НЕДАЛЬНОВИДНЫЙ"
205,блистательный,Adj,блистательный,positive,opinion,
206,богатенький,Adj,богатенький,negative,opinion,
207,богатый,Adj,богатый,positive,opinion,
208,богобоязненный,Adj,богобоязненный,positive,opinion,
209,богомольный,Adj,богомольный,positive,opinion,
210,богохульный,Adj,богохульный,negative,opinion,
211,богохульственный,Adj,богохульственный,negative,opinion,
212,бодрый,Adj,бодрый,positive,opinion,
213,бодряцкий,Adj,бодряцкий,negative,opinion,
214,бодряческий,Adj,бодряческий,negative,opinion,
215,божеский,Adj,божеский,positive,opinion,
216,божественный,Adj,божественный,positive,opinion,ПРЕКРАСНЫЙ (ОЧЕНЬ КРАСИВЫЙ)
217,бойкий,Adj,бойкий,neutral,opinion,БОЙКИЙ (ЛЮДНЫЙ)
218,бойкий,Adj,бойкий,positive,opinion,"БОЙКИЙ (БЫСТРЫЙ,ЖИВОЙ)"
219,бойкий,Adj,бойкий,positive,opinion,БОЙКИЙ (РАСТОРОПНЫЙ)
220,болезненный,Adj,болезненный,negative,opinion,БОЛЕЗНЕННЫЙ (ЧРЕЗМЕРНЫЙ)
221,болезненный,Adj,болезненный,negative,opinion,"БОЛЕЗНЕННЫЙ,СЛАБЫЙ ПО ЗДОРОВЬЮ"
222,бомжеский,Adj,бомжеский,negative,opinion,
223,бравый,Adj,бравый,positive,opinion,
224,бранный,Adj,бранный,negative,opinion,
225,бредовый,Adj,бредовый,negative,opinion,НЕЛЕПЫЙ
226,бродяжий,Adj,бродяжий,negative,opinion,
227,бродяжнический,Adj,бродяжнический,negative,opinion,
228,бросовый,Adj,бросовый,negative,opinion,БРОСОВЫЙ
229,брутальный,Adj,брутальный,positive,opinion,
230,брюзгливый,Adj,брюзгливый,negative,opinion,
231,бузотерский,Adj,бузотерский,negative,opinion,
232,буйный,Adj,буйный,negative,opinion,
233,бульварный,Adj,бульварный,negative,opinion,БУЛЬВАРНАЯ ЛИТЕРАТУРА
234,бунтарский,Adj,бунтарский,negative,opinion,
235,бутафорский,Adj,бутафорский,negative,opinion,"ПОКАЗУХА,БУТАФОРИЯ"
236,буферный,Adj,буферный,positive,opinion,БУФЕР (РОЛЬ)
237,бухой,Adj,бухой/бухий,negative,opinion,
238,быстротечный,Adj,быстротечный,negative,opinion,
239,бюрократический,Adj,бюрократический,negative,opinion,
240,бюрократичный,Adj,бюрократичный,negative,opinion,
241,бюрократский,Adj,бюрократский,negative,opinion,
242,важный,Adj,важный,positive,opinion,
243,валкий,Adj,валкий,negative,opinion,
244,вампирный,Adj,вампирный,negative,opinion,
245,вампирский,Adj,вампирский,negative,opinion,
246,вандалистский,Adj,вандалистский,negative,opinion,
247,варварский,Adj,варварский,negative,opinion,
248,вареный,Adj,вареный,negative,opinion,ЗАТОРМОЖЕННЫЙ
249,вдумчивый,Adj,вдумчивый,positive,opinion,
250,вежливый,Adj,вежливый,positive,opinion,
251,везучий,Adj,везучий,positive,opinion,
252,велеречивый,Adj,велеречивый,negative,opinion,
253,великий,Adj,великий,negative,opinion,ВЕЛИК ПО РАЗМЕРУ
254,великий,Adj,великий,neutral,opinion,БОЛЬШОЙ ПО РАЗМЕРУ
255,великий,Adj,великий,positive,opinion,"ВЫДАЮЩИЙСЯ,ВЕЛИКИЙ"
256,великодержавный,Adj,великодержавный,negative,opinion,
257,великолепный,Adj,великолепный,positive,opinion,
258,величавый,Adj,величавый,positive,opinion,
259,величественный,Adj,величественный,positive,opinion,
260,верноподданический,Adj,верноподданический,negative,opinion,
261,верноподданный,Adj,верноподданный,positive/negative,opinion,
262,верный,Adj,верный,positive,opinion,"ИСТИННЫЙ,ВЕРНЫЙ"
263,верный,Adj,верный,positive,opinion,"ПРАВИЛЬНЫЙ,СООТВЕТСТВУЮЩИЙ ПРАВИЛАМ"
264,верный,Adj,верный,positive,opinion,ПРЕДАННЫЙ
265,вероломный,Adj,вероломный,positive,opinion,
266,вероотступнический,Adj,вероотступнический,negative,opinion,
267,веселенький,Adj,веселенький,positive,opinion,
268,веселый,Adj,веселый,positive,opinion,
269,веский,Adj,веский,positive,opinion,
270,весомый,Adj,весомый,positive,opinion,
271,ветреный,Adj,ветреный,negative,opinion,"ЛЕГКОМЫСЛЕННЫЙ,БЕЗДУМНЫЙ"
272,ветхий,Adj,ветхий,negative,opinion,
273,ветхозаветный,Adj,ветхозаветный,negative,opinion,"УСТАРЕЛЫЙ,НЕСОВРЕМЕННЫЙ"
274,вздорный,Adj,вздорный,negative,opinion,
275,взрывной,Adj,взрывной,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
276,взрывоопасный,Adj,взрывоопасный,negative,opinion,
277,взрывчатый,Adj,взрывчатый,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
278,взыскательный,Adj,взыскательный,positive,opinion,
279,видимый,Adj,видимый,negative,opinion,ВНЕШНИЙ (ПОВЕРХНОСТНЫЙ)
280,видный,Adj,видный,positive,opinion,
281,виноватый,Adj,виноватый,negative,opinion,
282,виновный,Adj,виновный,negative,opinion,
283,виртуозный,Adj,виртуозный,positive,opinion,
284,вкрадчивый,Adj,вкрадчивый,negative,opinion,
285,властный,Adj,властный,positive/negative,opinion,"ВЛАСТНЫЙ,АВТОРИТАРНЫЙ"
286,властолюбивый,Adj,властолюбивый,negative,opinion,
287,вменяемый,Adj,вменяемый,positive,opinion,
288,вместительный,Adj,вместительный,positive,opinion,
289,внешний,Adj,внешний,negative,opinion,ВНЕШНИЙ (ПОВЕРХНОСТНЫЙ)
290,внимательнейший,Adj,внимательнейший,positive,opinion,
291,внимательный,Adj,внимательный,positive,opinion,
292,внушительный,Adj,внушительный,neutral,opinion,ВНУШИТЕЛЬНЫЙ ПО РАЗМЕРУ
293,внушительный,Adj,внушительный,positive,opinion,"ПРЕДСТАВИТЕЛЬНЫЙ,ПРЕЗЕНТАБЕЛЬНЫЙ"
294,внятный,Adj,внятный,positive,opinion,
295,вожделенный,Adj,вожделенный,positive,opinion,
296,возбудимый,Adj,возбудимый,negative,opinion,
297,возбужденный,Adj,возбужденный,negative,opinion,
298,возвышенный,Adj,возвышенный,positive,opinion,
299,возмутительный,Adj,возмутительный,negative,opinion,
300,воинствующий,Adj,воинствующий,negative,opinion,
301,волевой,Adj,волевой,positive,opinion,
302,волокитный,Adj,волокитный,negative,opinion,
303,волшебный,Adj,волшебный,positive,opinion,
304,вольготный,Adj,вольготный,positive,opinion,
305,вольный,Adj,вольный,negative,opinion,ВОЛЬНЫЙ (НЕТОЧНЫЙ)
306,вольный,Adj,вольный,positive,opinion,НЕПРИНУЖДЕННЫЙ
307,вольный,Adj,вольный,positive,opinion,СВОБОДНЫЙ (НИЧЕМ НЕ СТЕСНЕННЫЙ)
308,волюнтаристический,Adj,волюнтаристический,negative,opinion,
309,волюнтаристский,Adj,волюнтаристский,negative,opinion,
310,вопиющий,Adj,вопиющий,negative,opinion,
311,воровской,Adj,воровской,negative,opinion,
312,ворчливый,Adj,ворчливый,negative,opinion,
313,воспаленный,Adj,воспаленный,negative,opinion,ВОЗБУЖДЕННЫЙ
314,воспитанный,Adj,воспитанный,positive,opinion,
315,восторженный,Adj,восторженный,positive,opinion,
316,востребованный,Adj,востребованный,positive,opinion,
317,восхитительный,Adj,восхитительный,positive,opinion,
318,впечатляющий,Adj,впечатляющий,positive,opinion,
319,враждебный,Adj,враждебный,negative,opinion,
320,вражеский,Adj,вражеский,negative,opinion,
321,вражий,Adj,вражий,negative,opinion,
322,вразумительный,Adj,вразумительный,positive,opinion,
323,вредный,Adj,вредный,negative,opinion,
324,вредоносный,Adj,вредоносный,negative,opinion,
325,вседозволенный,Adj,вседозволенный,negative,opinion,
326,всеисцеляющий,Adj,всеисцеляющий,negative,opinion,
327,всемогущий,Adj,всемогущий,positive,opinion,
328,всесильный,Adj,всесильный,positive,opinion,
329,вспыльчивый,Adj,вспыльчивый,negative,opinion,
330,второстепенный,Adj,второстепенный,negative,opinion,
331,вульгарный,Adj,вульгарный,negative,opinion,
332,вчерашний,Adj,вчерашний,negative,opinion,
333,въедливый,Adj,въедливый,negative,opinion,"ВЪЕДЛИВЫЙ,ДОТОШНЫЙ"
334,въедчивый,Adj,въедчивый,negative,opinion,
335,выгодный,Adj,выгодный,positive,opinion,
336,выдающийся,Adj,видный,positive,opinion,
337,выигрышный,Adj,выигрышный,positive,opinion,
338,вымогательский,Adj,вымогательский,negative,opinion,
339,выносливый,Adj,выносливый,positive,opinion,
340,выполнимый,Adj,выполнимый,positive,opinion,
341,выразительный,Adj,выразительный,positive,opinion,
342,высокогуманный,Adj,высокогуманный,positive,opinion,
343,высококачественный,Adj,высококачественный,positive,opinion,
344,высококлассный,Adj,высококлассный,positive,opinion,
345,высокомерный,Adj,высокомерный,negative,opinion,
346,высокоморальный,Adj,высокоморальный,positive,opinion,
347,высоконравственный,Adj,высоконравственный,positive,opinion,
348,высокоодаренный,Adj,высокоодаренный,positive,opinion,
349,высокопарный,Adj,высокопарный,negative,opinion,
350,высокоперспективный,Adj,высокоперспективный,positive,opinion,
351,высокопорядочный,Adj,высокопорядочный,positive,opinion,
352,высокопрофессиональный,Adj,высокопрофессиональный,positive,opinion,
353,высокопрочный,Adj,высокопрочный,positive,opinion,
354,высокосортный,Adj,высокосортный,positive,opinion,
355,высокотоксичный,Adj,высокотоксичный,negative,opinion,
356,высокочтимый,Adj,высокочтимый,positive,opinion,
357,высокоэффективный,Adj,высокоэффективный,positive,opinion,
358,выспренний,Adj,выспренний,negative,opinion,
359,вычурный,Adj,вычурный,negative,opinion,
360,вяловатый,Adj,вяловатый,negative,opinion,
361,вялый,Adj,вялый,negative,opinion,
362,гадкий,Adj,гадкий,negative,opinion,
363,гадостный,Adj,гадостный,negative,opinion,
364,галантный,Adj,галантный,positive,opinion,
365,галимый,Adj,галимый,negative,opinion,
366,гармоничный,Adj,гармоничный,positive,opinion,
367,гениальный,Adj,гениальный,positive,opinion,
368,геройский,Adj,геройский,positive,opinion,
369,героический,Adj,героический,positive,opinion,
370,героичный,Adj,героичный,positive,opinion,
371,гибельный,Adj,гибельный,negative,opinion,
372,гиблый,Adj,гиблый,negative,opinion,
373,гигантский,Adj,гигантский,neutral,opinion,
374,гламурный,Adj,гламурный,negative,opinion,
375,глубокий,Adj,глубокий,neutral,opinion,"ГЛУБОКИЙ, БОЛЬШОЙ ПО ГЛУБИНЕ"
376,глубокий,Adj,глубокий,positive,opinion,"ГЛУБИНА,ОСНОВАТЕЛЬНОСТЬ"
377,глубокомысленный,Adj,глубокомысленный,positive,opinion,
378,глупенький,Adj,глупенький,negative,opinion,
379,глуповатый,Adj,глуповатый,negative,opinion,
380,глупый,Adj,глупый,negative,opinion,
381,глухой,Adj,глухой,negative,opinion,"БЕСЧУВСТВЕННЫЙ,ГЛУХОЙ"
382,гневный,Adj,гневный,negative,opinion,
383,гнилой,Adj,гнилой,negative,opinion,"ГНИЛОЙ (ВРЕДНЫЙ,НЕЗДОРОВЫЙ)"
384,гнилостный,Adj,гнилостный,negative,opinion,
385,гнусный,Adj,гнусный,negative,opinion,
386,головастый,Adj,головастый,positive,opinion,СООБРАЗИТЕЛЬНЫЙ
387,головокружительный,Adj,головокружительный,positive,opinion,ГОЛОВОКРУЖИТЕЛЬНЫЙ (ПОТРЯСАЮЩИЙ)
388,голодный,Adj,голодный,negative,opinion,
389,голословный,Adj,голословный,negative,opinion,
390,горемычный,Adj,горемычный,negative,opinion,
391,горестный,Adj,горестный,negative,opinion,
392,горьковатый,Adj,горьковатый,negative,opinion,
393,горячий,Adj,горячий,negative,opinion,"ВСПЫЛЬЧИВЫЙ,ЗАПАЛЬЧИВЫЙ"
394,горячий,Adj,горячий,negative,opinion,ГОРЯЧИЙ (НАПРЯЖЕННЫЙ)
395,горячий,Adj,горячий,neutral,opinion,ГОРЯЧИЙ ПО ТЕМПЕРАТУРЕ
396,горячий,Adj,горячий,positive,opinion,"ПЫЛКИЙ,СТРАСТНЫЙ,ГОРЯЧИЙ"
397,гостеприимный,Adj,гостеприимный,positive,opinion,
398,готовый,Adj,готовый,positive,opinion,
399,грабительский,Adj,грабительский,negative,opinion,
400,грамотный,Adj,грамотный,positive,opinion,
401,гребанный,Adj,гребанный,negative,opinion,
402,гребаный,Adj,гребаный,negative,opinion,
403,греховный,Adj,греховный,negative,opinion,
404,грешный,Adj,грешный,negative,opinion,
405,грозный,Adj,грозный,negative,opinion,
406,громадный,Adj,громадный,neutral,opinion,
407,громоздкий,Adj,громоздкий,negative,opinion,
408,грошовый,Adj,грошовый,negative,opinion,
409,грубейший,Adj,грубейший,negative,opinion,
410,грубоватый,Adj,грубоватый,negative,opinion,
411,грубый,Adj,грубый,negative,opinion,
412,грузный,Adj,грузный,negative,opinion,
413,грустноватый,Adj,грустноватый,negative,opinion,
414,грустный,Adj,грустный,negative,opinion,
415,грязненький,Adj,грязненький,negative,opinion,
416,грязноватый,Adj,грязноватый,negative,opinion,
417,грязный,Adj,грязный,negative,opinion,
418,губительный,Adj,губительный,negative,opinion,
419,гуманный,Adj,гуманный,positive,opinion,
420,гурманский,Adj,гурманский,positive,opinion,
421,гяурский,Adj,гяурский,negative,opinion,
422,далекий,Adj,далекий,negative,opinion,"ЧУЖДЫЙ,ДАЛЕКИЙ"
423,далекий,Adj,далекий,neutral,opinion,ДАЛЕКИЙ ПО ВРЕМЕНИ
424,далекий,Adj,далекий,neutral,opinion,ДАЛЕКИЙ ПО РАССТОЯНИЮ
425,дальновидный,Adj,дальновидный,positive,opinion,
426,даровитый,Adj,даровитый,positive,opinion,
427,двоедушный,Adj,двоедушный,negative,opinion,
428,двойственный,Adj,двойственный,negative,opinion,
429,двоякий,Adj,двоякий,negative,opinion,
430,двуликий,Adj,двуликий,negative,opinion,
431,двуличный,Adj,двуличный,negative,opinion,
432,двурушнический,Adj,двурушнический,negative,opinion,
433,двусмысленный,Adj,двусмысленный,negative,opinion,
434,дебильный,Adj,дебильный,negative,opinion,
435,дебоширский,Adj,дебоширский,negative,opinion,
436,девственный,Adj,девственный,positive,opinion,
437,дедовский,Adj,дедовский,negative,opinion,"УСТАРЕЛЫЙ,НЕСОВРЕМЕННЫЙ"
438,дееспособный,Adj,дееспособный,positive,opinion,
439,дезертирский,Adj,дезертирский,negative,opinion,
440,дезинформационный,Adj,дезинформационный,negative,opinion,
441,дезорганизаторский,Adj,дезорганизаторский,negative,opinion,
442,действенный,Adj,действенный,positive,opinion,
443,декларативный,Adj,декларативный,negative,opinion,
444,деланный,Adj,деланный,negative,opinion,
445,деликатный,Adj,деликатный,negative,opinion,ДЕЛИКАТНЫЙ (ЗАТРУДНИТЕЛЬНЫЙ)
446,деликатный,Adj,деликатный,positive,opinion,"ДЕЛИКАТНЫЙ,ТАКТИЧНЫЙ"
447,деловитый,Adj,деловитый,positive,opinion,
448,деловой,Adj,деловой,positive,opinion,ПРЕДПРИИМЧИВЫЙ
449,дельный,Adj,дельный,positive,opinion,
450,демагогический,Adj,демагогический,negative,opinion,
451,демагогичный,Adj,демагогичный,negative,opinion,
452,демократичный,Adj,демократичный,positive,opinion,
453,денежный,Adj,денежный,positive,opinion,"БОГАТЫЙ,НЕБЕДНЫЙ"
454,державный,Adj,державный,positive,opinion,"ВЕЛИЧАВЫЙ,ЦАРСТВЕННЫЙ"
455,дерзкий,Adj,дерзкий,negative,opinion,ДЕРЗКИЙ (НЕПОЧТИТЕЛЬНЫЙ)
456,дерзкий,Adj,дерзкий,positive,opinion,"ДЕРЗКИЙ,ДЕРЗНОВЕННЫЙ"
457,дерзновенный,Adj,дерзновенный,positive,opinion,
458,дерзостный,Adj,дерзостный,negative,opinion,ДЕРЗКИЙ (НЕПОЧТИТЕЛЬНЫЙ)
459,дерзостный,Adj,дерзостный,positive,opinion,"ДЕРЗКИЙ,ДЕРЗНОВЕННЫЙ"
460,дерьмовый,Adj,дерьмовый,negative,opinion,
461,деспотический,Adj,деспотический,negative,opinion,
462,деспотичный,Adj,деспотичный,negative,opinion,
463,дестабилизационный,Adj,дестабилизационный,negative,opinion,
464,дестабильный,Adj,дестабильный,negative,opinion,
465,детальнейший,Adj,детальнейший,positive,opinion,
466,детальный,Adj,детальный,positive,opinion,"ПОДРОБНЫЙ,ДЕТАЛЬНЫЙ"
467,дешевенький,Adj,дешевенький,negative,opinion,
468,дешевый,Adj,дешевый,negative,opinion,НИЗКОПРОБНЫЙ
