,WORD,LABEL,ASSESSOR_LABEL,BASE_YEAR,RATING
176,католический_ADJ,1,0,2002,6
177,текстовый_ADJ,1,0,2010,9
178,необоснованный_ADJ,0,0,2012,-1
179,неправильный_ADJ,0,0,2001,-1
180,русскоязычный_ADJ,0,0,2013,-1
181,голубой_ADJ,0,0,2007,-1
182,невский_ADJ,1,0,2006,3
183,голевой_ADJ,0,0,2005,-1
184,фигурный_ADJ,1,0,2001,4
185,железный_ADJ,1,0,2005,5
186,книжный_ADJ,0,0,2002,-1
187,птичий_ADJ,1,0,2006,1
188,проектный_ADJ,0,0,2006,-1
189,достойный_ADJ,0,0,2004,-1
190,принятый_ADJ,0,0,2012,-1
191,узбекский_ADJ,1,0,2005,8
192,южнокорейский_ADJ,0,0,2008,-1
193,ювелирный_ADJ,0,0,2008,-1
194,смешанный_ADJ,1,0,2003,2
195,голливудский_ADJ,0,0,2002,-1
196,кавказский_ADJ,0,1,2010,-1
197,шахматный_ADJ,0,0,2001,-1
198,адекватный_ADJ,0,0,2005,-1
199,подавляющий_ADJ,1,0,2000,10
200,свиной_ADJ,1,2,2008,2
201,крымский_ADJ,1,0,2013,3
202,республиканский_ADJ,0,0,2004,-1
203,мадридский_ADJ,0,0,2007,-1
204,норильский_ADJ,1,0,2009,1
205,тюменский_ADJ,0,0,2005,-1
206,железный_ADJ,1,0,2008,7
207,донецкий_ADJ,1,2,2013,6
208,железный_ADJ,1,0,2012,4
209,красноярский_ADJ,1,0,2002,9
210,саяно-шушенский_ADJ,1,0,2009,5
211,пожизненный_ADJ,1,1,2006,8
212,сердечный_ADJ,0,0,2006,-1
213,жаркий_ADJ,0,0,2006,-1
214,балетный_ADJ,1,0,2012,5
215,невероятный_ADJ,0,0,2010,-1
216,офшорный_ADJ,0,0,2013,-1
217,разнообразный_ADJ,0,0,2011,-1
218,ежедневный_ADJ,1,0,2002,5
219,датский_ADJ,1,0,2001,2
220,рекордный_ADJ,0,0,2013,-1
221,обыкновенный_ADJ,1,0,2012,7
222,крымский_ADJ,1,0,2011,2
223,радиоактивный_ADJ,0,0,2007,-1
224,железный_ADJ,1,0,2007,8
225,заказной_ADJ,0,0,2000,-1
226,мадридский_ADJ,1,1,2003,6
227,датский_ADJ,1,0,2005,2
228,мелкий_ADJ,0,0,2000,-1
229,птичий_ADJ,1,0,2005,4
230,македонский_ADJ,1,0,2001,1
231,сибирский_ADJ,1,0,2000,6
232,иркутский_ADJ,0,0,2009,-1
233,грязный_ADJ,0,1,2007,-1
234,смертный_ADJ,1,0,2000,9
235,римский_ADJ,0,0,2005,-1
236,южноуральский_ADJ,1,0,2003,1
237,пушкинский_ADJ,1,2,2012,3
238,армянский_ADJ,0,0,2006,-1
239,академический_ADJ,0,0,2010,-1
240,добровольный_ADJ,0,0,2004,-1
241,птичий_ADJ,1,0,2004,2
242,неофициальный_ADJ,0,0,2011,-1
243,ледяной_ADJ,0,0,2009,-1
244,радиоактивный_ADJ,0,0,2010,-1
245,австралийский_ADJ,0,0,2007,-1
246,египетский_ADJ,0,0,2008,-1
247,надежный_ADJ,0,0,2013,-1
248,нравственный_ADJ,0,0,2002,-1
249,патриотический_ADJ,0,1,2013,-1
250,уставной_ADJ,0,0,2003,-1
251,бытовой_ADJ,0,0,2013,-1
252,латинский_ADJ,0,0,2010,-1
253,проектный_ADJ,0,0,2009,-1
254,выездной_ADJ,0,0,2010,-1
255,летный_ADJ,0,0,2000,-1
256,ежемесячный_ADJ,0,0,2003,-1
257,победный_ADJ,0,0,2003,-1
258,внеочередной_ADJ,0,0,2006,-1
259,симпатичный_ADJ,0,0,2005,-1
260,незначительный_ADJ,0,0,2011,-1
261,водительский_ADJ,0,0,2012,-1
262,армянский_ADJ,0,0,2006,-1
263,ложный_ADJ,0,0,2007,-1
264,долговой_ADJ,0,0,2005,-1
265,памятный_ADJ,0,0,2004,-1
266,двусторонний_ADJ,0,0,2011,-1
267,выездной_ADJ,0,0,2010,-1
268,патрульный_ADJ,0,1,2009,-1
269,обыкновенный_ADJ,0,0,2008,-1
270,социологический_ADJ,0,0,2007,-1
271,противоположный_ADJ,0,0,2010,-1
272,приоритетный_ADJ,0,0,2011,-1
273,узбекский_ADJ,0,2,2004,-1
274,несанкционированный_ADJ,0,0,2009,-1
275,исправительный_ADJ,0,0,2010,-1
276,романтический_ADJ,0,0,2000,-1
277,новгородский_ADJ,0,0,2001,-1
278,солнечный_ADJ,0,0,2000,-1
279,защитный_ADJ,0,1,2001,-1
